long_name,name,state,fines,standard_loan_weeks,ILS,website,
Carpentaria Shire Council,Carpentaria Shire,qld,no,4,AIT Aurora,https://www.carpentaria.qld.gov.au/discover/visitor-information-centres-libraries,
Cassowary Coast Regional Council,Cassowary Coast Regional,qld,no,3,Libero,http://www.cassowarycoast.qld.gov.au/libraries,
Central Highlands Regional Council,Central Highlands Regional,qld,no,4,AIT Aurora,http://www.centralhighlands.qld.gov.au/facilities-recreation/libraries/,
Charters Towers Regional Council,Charters Towers Regional,qld,no,4,AIT Aurora,https://www.charterstowers.qld.gov.au/community/library,
Cherbourg Aboriginal Shire Council,Cherbourg Aboriginal Shire,qld,no,4,AIT Aurora,https://cherbourg.qld.gov.au/community/indigenous-knowledge-centre/,
Cloncurry Shire Council,Cloncurry Shire,qld,no,4,AIT Aurora,https://www.cloncurry.qld.gov.au/community/facilities/bob-mcdonald-library,
Cook Shire Council,Cook Shire,qld,yes,4,AIT Aurora,http://www.cook.qld.gov.au/community/libraries,
Croydon Shire Council,Croydon Shire,qld,no,4,AIT Aurora,https://www.croydon.qld.gov.au/about-council/community-services/library,
Diamantina Shire Council,Diamantina Shire,qld,no,4,AIT Aurora,https://www.diamantina.qld.gov.au/community-services/library-services,
Douglas Shire Council,Douglas Shire,qld,yes,4,AIT Aurora,https://douglas.qld.gov.au/council-information/library-services/,
Etheridge Shire Council,Etheridge Shire,qld,no,4,AIT Aurora,https://www.etheridge.qld.gov.au/region/terrestrial-information-centre,
Flinders Shire Council,Flinders Shire QLD,qld,no,4,AIT Aurora,https://www.flinders.qld.gov.au/our-community/flinders-shire-public-library,
Fraser Coast Regional Council,Fraser Coast Regional,qld,no,3,AIT Aurora,https://www.frasercoast.qld.gov.au/libraries,
Gladstone Regional Council,Gladstone Regional,qld,yes,3,AIT Aurora,https://www.gladstonelibraries.qld.gov.au/,
Gold Coast City Council,Gold Coast City,qld,no,4,Innovative Sierra,https://new.goldcoast.qld.gov.au/libraries/Home,
Goondiwindi Regional Council,Goondiwindi Regional,qld,yes,4,AIT Aurora,https://www.grc.qld.gov.au/residents/libraries,
Gympie Regional Council,Gympie Regional,qld,no,3,Civica Spydus,https://www.gympie.qld.gov.au/web/library,
Hinchinbrook Shire Council,Hinchinbrook Shire,qld,no,4,AIT Aurora,https://www.hinchinbrookway.com.au/hinchinbrook-shire-library,
Hope Vale Aboriginal Shire Council,Hope Vale Aboriginal Shire,qld,no,4,AIT Aurora,https://www.hopevale.qld.gov.au/community/ikc,
Ipswich City Council,Ipswich City,qld,no,4,Civica Spydus,https://www.ipswichlibraries.com.au/,
Isaac Regional Council,Isaac Regional,qld,no,?,Libero,https://www.isaac.qld.gov.au/library-arts-and-culture/home,
Livingstone Shire Council,Livingstone Shire,qld,no,?,Libero,https://www.livingstone.qld.gov.au/places-and-spaces/community-facilities/libraries,
Lockhart River Aboriginal Shire Council,Lockhart River Aboriginal Shire,qld,no,4,AIT Aurora,https://lockhart.qld.gov.au/council-facilities/library/,
Lockyer Valley Regional Council,Lockyer Valley Regional,qld,no,4,Civica Spydus,https://www.lockyervalley.qld.gov.au/our-region/facilities/lockyer-valley-libraries/Pages/default.aspx,
Logan City Council,Logan City,qld,no,2,SirsiDynix Horizon,https://loganlibraries.org/,
Longreach Regional Council,Longreach Regional,qld,yes,3,AIT Aurora,https://www.longreach.qld.gov.au/libraries,
Mackay Regional Council,Mackay Regional,qld,no,2,AIT Aurora,https://www.mackay.qld.gov.au/libraries,
Maranoa Regional Council,Maranoa Regional,qld,no,4,AIT Aurora,http://www.mymaranoa.org.au/residents/arts-culture-library/Pages/default.aspx,
Mareeba Shire Council,Mareeba Shire,qld,yes,4,Civica Spydus,https://msc.qld.gov.au/community/libraries/,
McKinlay Shire Council,McKinlay Shire,qld,no,4,AIT Aurora,https://www.mckinlay.qld.gov.au/community/libraries,
Moreton Bay Regional Council,Moreton Bay Regional,qld,yes,?,Civica Spydus,https://library.moretonbay.qld.gov.au/cgi-bin/spydus.exe/MSGTRN/WPAC/HOME,
Mount Isa City Council,Mount Isa City,qld,no,4,Libero,https://www.mountisa.qld.gov.au/libraries,
Murweh Shire Council,Murweh Shire,qld,no,4,AIT Aurora,https://www.murweh.qld.gov.au/services/library,
Napranum Aboriginal Shire Council,Napranum Aboriginal Shire,qld,no,4,AIT Aurora,,
Noosa Shire Council,Noosa Shire,qld,no,3,Civica Spydus,https://www.libraries.noosa.qld.gov.au/,
North Burnett Regional Council,North Burnett Regional,qld,no,4,AIT Aurora,https://www.northburnett.qld.gov.au/library-services/,
Northern Peninsula Area Regional Council,Northern Peninsula Area Regional,qld,no,4,AIT Aurora,https://www.nparc.qld.gov.au/services/libraries-knowledge-centres,
Palm Island Aboriginal Shire Council,Palm Island Aboriginal Shire,qld,no,4,AIT Aurora,http://www.palmcouncil.qld.gov.au/library,
Paroo Shire Council,Paroo Shire,qld,no,4,AIT Aurora,https://www.paroo.qld.gov.au/community/libraries,
Pormpuraaw Aboriginal Shire Council,Pormpuraaw Aboriginal Shire,qld,no,4,AIT Aurora,,
Quilpie Shire Council,Quilpie Shire,qld,no,4,AIT Aurora,https://quilpie.qld.gov.au/community-facilities/quilpie-shire-library/,
Redland City Council,Redland City,qld,no,4,SirsiDynix Horizon,https://www.redland.qld.gov.au/info/20157/libraries,
Richmond Shire Council,Richmond Shire,qld,no,2,AIT Aurora,https://www.richmond.qld.gov.au/services/library,
Rockhampton Regional Council,Rockhampton Regional,qld,yes,3,SirsiDynix Symphony,https://www.rockhamptonregion.qld.gov.au/FacilitiesRecreation/Library,
Scenic Rim Regional Council,Scenic Rim Regional,qld,no,4,Civica Spydus,https://www.scenicrim.qld.gov.au/our-community/libraries,
Somerset Regional Council,Somerset Regional,qld,no,4,AIT Aurora,https://www.somerset.qld.gov.au/our-services/library,
South Burnett Regional Council,South Burnett Regional,qld,no,4,AIT Aurora,https://library.southburnett.qld.gov.au/Montage/Default.aspx,
Southern Downs Regional Council,Southern Downs Regional,qld,yes,4,Civica Spydus,https://www.sdrc.qld.gov.au/living-here/libraries,
